X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
4.5,-6,0.4,-5.79E-02,-3.63E-02,4.13E-04
6,-6,0.4,-7.55E-02,-5.50E-02,5.18E-04
7.5,-6,0.4,-9.26E-02,-7.79E-02,5.69E-04
9,-6,0.4,-0.10915,-0.10505,5.88E-04
10.5,-6,0.4,-0.12508,-0.13625,5.89E-04
12,-6,0.4,-0.14038,-0.17136,5.79E-04
13.5,-6,0.4,-0.15507,-0.21022,5.63E-04
15,-6,0.4,-0.16913,-0.25268,5.43E-04
16.5,-6,0.4,-0.18257,-0.29857,5.21E-04
18,-6,0.4,-0.19538,-0.34774,4.97E-04
19.5,-6,0.4,-0.20757,-0.40004,4.73E-04
21,-6,0.4,-0.21913,-0.45531,4.49E-04
22.5,-6,0.4,-0.23007,-0.51339,4.24E-04
24,-6,0.4,-0.24038,-0.57413,4.00E-04
25.5,-6,0.4,-0.25007,-0.63736,3.75E-04
27,-6,0.4,-0.25913,-0.70294,3.50E-04
28.5,-6,0.4,-0.26757,-0.77071,3.25E-04
30,-6,0.4,-0.27538,-0.84051,3.00E-04
31.5,-6,0.4,-0.28257,-0.91218,2.75E-04
33,-6,0.4,-0.28913,-0.98558,2.50E-04
34.5,-6,0.4,-0.29507,-1.0605,2.25E-04
36,-6,0.4,-0.30038,-1.1369,2.00E-04
37.5,-6,0.4,-0.30507,-1.2145,1.75E-04
39,-6,0.4,-0.30913,-1.2932,1.51E-04
40.5,-6,0.4,-0.31258,-1.3728,1.27E-04
42,-6,0.4,-0.31542,-1.4533,1.04E-04
43.5,-6,0.4,-0.31769,-1.5343,8.27E-05
45,-6,0.4,-0.31945,-1.6159,6.64E-05
46.5,-6,0.4,-0.32082,-1.6982,4.54E-05
48,-6,0.4,-0.322,-1.7824,-1.05E-05
46.5,-5.25,0.4,-0.27959,-1.698,2.79E-05
45,-5.25,0.4,-0.27863,-1.6157,4.82E-05
43.5,-5.25,0.4,-0.27716,-1.534,6.85E-05
42,-5.25,0.4,-0.2752,-1.4529,8.84E-05
40.5,-5.25,0.4,-0.27272,-1.3724,1.10E-04
39,-5.25,0.4,-0.26971,-1.2927,1.31E-04
37.5,-5.25,0.4,-0.26615,-1.2139,1.53E-04
36,-5.25,0.4,-0.26205,-1.1362,1.75E-04
34.5,-5.25,0.4,-0.2574,-1.0597,1.97E-04
33,-5.25,0.4,-0.2522,-0.9847,2.19E-04
31.5,-5.25,0.4,-0.24646,-0.91122,2.40E-04
30,-5.25,0.4,-0.24017,-0.83946,2.62E-04
28.5,-5.25,0.4,-0.23334,-0.76957,2.84E-04
27,-5.25,0.4,-0.22595,-0.70171,3.06E-04
25.5,-5.25,0.4,-0.21802,-0.63604,3.28E-04
24,-5.25,0.4,-0.20955,-0.57272,3.50E-04
22.5,-5.25,0.4,-0.20052,-0.5119,3.72E-04
21,-5.25,0.4,-0.19095,-0.45373,3.93E-04
19.5,-5.25,0.4,-0.18084,-0.39837,4.15E-04
18,-5.25,0.4,-0.17017,-0.34599,4.36E-04
16.5,-5.25,0.4,-0.15896,-0.29672,4.58E-04
15,-5.25,0.4,-0.1472,-0.25074,4.78E-04
13.5,-5.25,0.4,-0.1349,-0.2082,4.98E-04
12,-5.25,0.4,-0.12205,-0.16925,5.16E-04
10.5,-5.25,0.4,-0.10865,-0.13406,5.30E-04
9,-5.25,0.4,-9.47E-02,-0.10277,5.40E-04
7.5,-5.25,0.4,-8.02E-02,-7.56E-02,5.40E-04
6,-5.25,0.4,-6.52E-02,-5.25E-02,5.24E-04
4.5,-5.25,0.4,-4.97E-02,-3.38E-02,4.80E-04
3,-5.25,0.4,-3.37E-02,-1.94E-02,3.90E-04
1.5,-5.25,0.4,-1.72E-02,-8.79E-03,2.40E-04
